title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
"Agency Information Collection Activities: Proposed Collection; Comment Request, 1660-0026; State Administrative Plan for the Hazard Mitigation Grant Program",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a proposed revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this Notice seeks comments concerning the collection of information known as the State Administrative Plan and its requirement for inclusion with an application for the Hazard Mitigation Grant Program.",75 FR 24732, 2010-10533,https://www.federalregister.gov/documents/2010/05/05/2010-10533/agency-information-collection-activities-proposed-collection-comment-request-1660-0026-state,https://www.govinfo.gov/content/pkg/FR-2010-05-05/pdf/2010-10533.pdf,05/05/2010
Agency Information Collection Activities: Submission for OMB Review; Comment Request; State/Local/Tribal Hazard Mitigation Plans,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission will describe the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",82 FR 25298, 2017-11087,https://www.federalregister.gov/documents/2017/06/01/2017-11087/agency-information-collection-activities-submission-for-omb-review-comment-request-statelocaltribal,https://www.govinfo.gov/content/pkg/FR-2017-06-01/pdf/2017-11087.pdf,06/01/2017
Notice of Intent To Prepare a Programmatic Environmental Assessment and Notice of Public Scoping Period; Wildfire Mitigation Programmatic Environmental Assessment,Notice,Homeland Security Department; Federal Emergency Management Agency,"In compliance with the National Environmental Policy Act of 1969, the Federal Emergency Management Agency (FEMA) is proposing to prepare a programmatic environmental assessment (PEA) to evaluate the potential beneficial and adverse impacts from eligible wildfire mitigation activities funded under the Hazard Mitigation Grant Program (HMGP) and Pre-Disaster Mitigation (PDM) Program. This PEA will evaluate the environmental impacts of continuing to fund eligible activities under these programs (Proposed Action). FEMA anticipates that this programmatic approach will result in better decision-making, and will improve the timeliness and efficiency of environmental reviews. The identification of specific activities that would not require additional environmental review, along with project-specific reviews informed by or ""tiered to"" the PEA, will improve efficiency by helping to streamline the process of environmental review. FEMA provides this notice to advise other Federal and State agencies, Territories, Indian Tribal Governments, local governments, private non-profit and other non-governmental organizations, and the public of our intent to prepare a PEA, to provide information on the nature of the analysis, and to invite public input on the scope of issues, proposed alternatives, potential effects and measures to lessen those effects that may be considered. Agencies, interested parties, and the public are invited to submit comments on the scope of the PEA at any time during the public comment period.",79 FR 37758, 2014-15486,https://www.federalregister.gov/documents/2014/07/02/2014-15486/notice-of-intent-to-prepare-a-programmatic-environmental-assessment-and-notice-of-public-scoping,https://www.govinfo.gov/content/pkg/FR-2014-07-02/pdf/2014-15486.pdf,07/02/2014
Simplifying FEMA Preparedness Grants,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) aims to improve the management and administration of its preparedness grant programs to continue to assist the nation in building and sustaining capabilities to prevent, prepare for, protect against, and respond to terrorist attacks and other hazards. FEMA is issuing this Notice and Request for Information (RFI) to seek public input on simplifying and streamlining its preparedness grant process to improve the efficiency and accessibility of its suite of preparedness grant programs.",88 FR 62098, 2023-19376,https://www.federalregister.gov/documents/2023/09/08/2023-19376/simplifying-fema-preparedness-grants,https://www.govinfo.gov/content/pkg/FR-2023-09-08/pdf/2023-19376.pdf,09/08/2023
Agency Information Collection Activities: Proposed Collection; Comment Request; Mitigation Grant Programs/e-Grants,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the collection of information necessary to implement grants for the Flood Mitigation Assistance (FMA) program and the Pre-Disaster Mitigation (PDM) program.",82 FR 21548, 2017-09359,https://www.federalregister.gov/documents/2017/05/09/2017-09359/agency-information-collection-activities-proposed-collection-comment-request-mitigation-grant,https://www.govinfo.gov/content/pkg/FR-2017-05-09/pdf/2017-09359.pdf,05/09/2017
Connecticut; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Connecticut (FEMA-4087-DR), dated October 30, 2012, and related determinations.",77 FR 68800, 2012-27889,https://www.federalregister.gov/documents/2012/11/16/2012-27889/connecticut-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2012-11-16/pdf/2012-27889.pdf,11/16/2012
Arizona; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Arizona (FEMA-1950-DR), dated December 21, 2010, and related determinations.",76 FR 790, 2010-33360,https://www.federalregister.gov/documents/2011/01/06/2010-33360/arizona-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2011-01-06/pdf/2010-33360.pdf,01/06/2011
Public Assistance Mitigation Cost Share Incentives Policy,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) is accepting comments on its newly issued Public Assistance Mitigation Cost Share Incentives Policy, FEMA Interim Policy FP-104-24-002.",89 FR 79943, 2024-22270,https://www.federalregister.gov/documents/2024/10/01/2024-22270/public-assistance-mitigation-cost-share-incentives-policy,https://www.govinfo.gov/content/pkg/FR-2024-10-01/pdf/2024-22270.pdf,10/01/2024
Connecticut; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Connecticut (FEMA-4629-DR), dated October 30, 2021, and related determinations.",87 FR 50343, 2022-17543,https://www.federalregister.gov/documents/2022/08/16/2022-17543/connecticut-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2022-08-16/pdf/2022-17543.pdf,08/16/2022
Agency Information Collection Activities: Submission for OMB Review; Comment Request; State Administrative Plan for the Hazard Mitigation Program,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA), as part of its continuing effort to reduce paperwork and respondent burden, invites the general public to take this opportunity to comment on a reinstatement, without change, of a previously approved information collection for which approval has expired. FEMA will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission will describe the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",86 FR 8920, 2021-02752,https://www.federalregister.gov/documents/2021/02/10/2021-02752/agency-information-collection-activities-submission-for-omb-review-comment-request-state,https://www.govinfo.gov/content/pkg/FR-2021-02-10/pdf/2021-02752.pdf,02/10/2021
Agency Information Collection Activities: Submission for OMB Review; Comment Request; Hazard Mitigation Grant Program (HMGP) Application and Reporting,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for reinstatement and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The reinstatement submission will describe the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",82 FR 27071, 2017-12216,https://www.federalregister.gov/documents/2017/06/13/2017-12216/agency-information-collection-activities-submission-for-omb-review-comment-request-hazard-mitigation,https://www.govinfo.gov/content/pkg/FR-2017-06-13/pdf/2017-12216.pdf,06/13/2017
Minnesota; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Minnesota (FEMA-1900-DR), dated April 19, 2010, and related determinations.",75 FR 23792, 2010-10333,https://www.federalregister.gov/documents/2010/05/04/2010-10333/minnesota-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2010-05-04/pdf/2010-10333.pdf,05/04/2010
Arizona; Amendment No. 1 to Notice of a Major Disaster Declaration,Notice,Homeland Security Department; Federal Emergency Management Agency,"This notice amends the notice of a major disaster declaration for the State of Arizona (FEMA-1950-DR), dated December 21, 2010, and related determinations.",76 FR 50747, 2011-20799,https://www.federalregister.gov/documents/2011/08/16/2011-20799/arizona-amendment-no-1-to-notice-of-a-major-disaster-declaration,https://www.govinfo.gov/content/pkg/FR-2011-08-16/pdf/2011-20799.pdf,08/16/2011
Connecticut; Emergency and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of an emergency for the State of Connecticut (FEMA-3604-EM), dated January 13, 2024, and related determinations.",89 FR 18960, 2024-05517,https://www.federalregister.gov/documents/2024/03/15/2024-05517/connecticut-emergency-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2024-03-15/pdf/2024-05517.pdf,03/15/2024
Agency Information Collection Activities: Submission for OMB Review; Comment Request; State Administrative Plan for the Hazard Mitigation Grant Program,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) will submit the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission will describe the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",82 FR 14740, 2017-05580,https://www.federalregister.gov/documents/2017/03/22/2017-05580/agency-information-collection-activities-submission-for-omb-review-comment-request-state,https://www.govinfo.gov/content/pkg/FR-2017-03-22/pdf/2017-05580.pdf,03/22/2017
Connecticut; Amendment No. 4 to Notice of a Major Disaster Declaration,Notice,Homeland Security Department; Federal Emergency Management Agency,"This notice amends the notice of a major disaster declaration for the State of Connecticut (FEMA-4087-DR), dated October 30, 2012, and related determinations.",77 FR 71813, 2012-29190,https://www.federalregister.gov/documents/2012/12/04/2012-29190/connecticut-amendment-no-4-to-notice-of-a-major-disaster-declaration,https://www.govinfo.gov/content/pkg/FR-2012-12-04/pdf/2012-29190.pdf,12/04/2012
Minnesota; Emergency and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of an emergency for the State of Minnesota (FEMA-3310-EM), dated March 19, 2010, and related determinations.",75 FR 16819, 2010-7450,https://www.federalregister.gov/documents/2010/04/02/2010-7450/minnesota-emergency-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2010-04-02/pdf/2010-7450.pdf,04/02/2010
"Agency Information Collection Activities: Submission for OMB Review; Comment Request, OMB No. 1660-0076; Hazard Mitigation Grant Program Application and Reporting",Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency (FEMA) has submitted the information collection abstracted below to the Office of Management and Budget for review and clearance in accordance with the requirements of the Paperwork Reduction Act of 1995. The submission describes the nature of the information collection, the categories of respondents, the estimated burden (i.e., the time, effort and resources used by respondents to respond) and cost, and the actual data collection instruments FEMA will use.",75 FR 24732, 2010-10531,https://www.federalregister.gov/documents/2010/05/05/2010-10531/agency-information-collection-activities-submission-for-omb-review-comment-request-omb-no-1660-0076,https://www.govinfo.gov/content/pkg/FR-2010-05-05/pdf/2010-10531.pdf,05/05/2010
Agency Information Collection Activities: Proposed Collection; Comment Request,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on an extension, without change, of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the Hazard Mitigation Grant Program application and reporting requirements.",78 FR 15735, 2013-05675,https://www.federalregister.gov/documents/2013/03/12/2013-05675/agency-information-collection-activities-proposed-collection-comment-request,https://www.govinfo.gov/content/pkg/FR-2013-03-12/pdf/2013-05675.pdf,03/12/2013
Agency Information Collection Activities: Proposed Collection; Comment Request; America's PrepareAthon! National Day of Action Event Registration,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Federal Emergency Management Agency, as part of its continuing effort to reduce paperwork and respondent burden, invites the general public and other Federal agencies to take this opportunity to comment on a revision of a currently approved information collection. In accordance with the Paperwork Reduction Act of 1995, this notice seeks comments concerning the registration for events in support of America's PrepareAthon! National Day of Action. This is part of a FEMA effort to coordinate a comprehensive campaign to build and sustain national preparedness, including public outreach and community- based and private-sector programs to enhance national resilience.",81 FR 45172, 2016-16436,https://www.federalregister.gov/documents/2016/07/12/2016-16436/agency-information-collection-activities-proposed-collection-comment-request-americas-prepareathon,https://www.govinfo.gov/content/pkg/FR-2016-07-12/pdf/2016-16436.pdf,07/12/2016
Disaster Assistance; Fire Management Assistance Grant (FMAG) Program-Deadline Extensions and Administrative Correction,Rule,Federal Emergency Management Agency,"Under the authority of Section 420 of the Robert T. Stafford Disaster Relief and Emergency Assistance Act, as amended, the Federal Emergency Management Agency (FEMA) provides grants for the mitigation, management, and control of any fire or fire complex on public or private forest land or grassland that threatens such destruction as would constitute a major disaster. This rule finalizes, without change, a proposed rule to revise the Fire Management Assistance Grant (FMAG) program regulations to lengthen the potential extension for the grantee's submission of its grant application to FEMA from up to 3 months to up to 6 months. This rule also finalizes, without change, the proposed regulation to lengthen the potential extension for a subgrantee to submit a project worksheet from up to 3 months to up to 6 months. The rule finalizes additional minor administrative changes to the rule.",79 FR 63540, 2014-24802,https://www.federalregister.gov/documents/2014/10/24/2014-24802/disaster-assistance-fire-management-assistance-grant-fmag-program-deadline-extensions-and,https://www.govinfo.gov/content/pkg/FR-2014-10-24/pdf/2014-24802.pdf,10/24/2014
Connecticut; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Connecticut (FEMA-1958-DR), dated March 3, 2011, and related determinations.",76 FR 13653, 2011-5820,https://www.federalregister.gov/documents/2011/03/14/2011-5820/connecticut-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2011-03-14/pdf/2011-5820.pdf,03/14/2011
Voluntary Private Sector Accreditation and Certification Preparedness Program,Notice,Homeland Security Department; Federal Emergency Management Agency,"The Department of Homeland Security (DHS) announces an initial plan to address small business concerns in the Voluntary Private Sector Accreditation and Certification Preparedness Program (PS-Prep Program). This initial plan identifies the separate classifications and the methods of certification available for small businesses under the PS- Prep Program. The purpose of this notice is to (1) present the plan for small business preparedness, and (2) invite public comment on the plan. DHS will continue to refine this plan, and will take comments into consideration in doing so. Instructions: DHS will review any comments received for small business considerations or the PS-Prep Program generally and, when merited, will publish a Federal Register notice providing the results of that review. Those interested may submit comments, identified by Docket ID FEMA- 2008-0017, by one of the following methods: <bullet> Federal eRulemaking Portal: http://www.regulations.gov. Follow the instructions for submitting comments. (Note: This process applies to all government requests for comments--even though as in the case of PS-Prep, they may not be for regulatory purposes.) <bullet> Fax: 703-483-2999. <bullet> Mail/Hand Delivery/Courier: Office of Chief Counsel, Federal Emergency Management Agency, 500 C Street, SW., Room 840, Washington, DC 20472-3100. All submissions received must include the agency name and Docket ID FEMA-2008-0017. All submissions will be posted, without change, to the Federal eRulemaking Portal at http://www.regulations.gov, and will include any personal information you provide. Because comments are made available to the public, submitters should take caution to not include any sensitive, personal information, trade secret, or any commercial or financial information which is obtained from any person and which is deemed privileged or confidential. Submitters may wish to read the Privacy Act notice available on the Privacy Notice link located at the bottom of http://www.regulations.gov. Docket: For access to the docket to read background documents or comments received, go to the Federal eRulemaking Portal at http:// www.regulations.gov. Submitted comments may also be inspected at FEMA, Office of Chief Counsel, 500 C Street, SW., Room 840, Washington, DC 20472.",75 FR 60773, 2010-24673,https://www.federalregister.gov/documents/2010/10/01/2010-24673/voluntary-private-sector-accreditation-and-certification-preparedness-program,https://www.govinfo.gov/content/pkg/FR-2010-10-01/pdf/2010-24673.pdf,10/01/2010
Connecticut; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Connecticut (FEMA-4106-DR), dated March 21, 2013, and related determinations.",78 FR 23279, 2013-09078,https://www.federalregister.gov/documents/2013/04/18/2013-09078/connecticut-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2013-04-18/pdf/2013-09078.pdf,04/18/2013
Maine; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Maine (FEMA-1953-DR), dated February 1, 2011, and related determinations.",76 FR 9040, 2011-3425,https://www.federalregister.gov/documents/2011/02/16/2011-3425/maine-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2011-02-16/pdf/2011-3425.pdf,02/16/2011
Disaster Assistance-Federal Assistance to Individuals and Households,Rule,Homeland Security Department; Federal Emergency Management Agency,"Under the authority of section 408 of the Robert T. Stafford Disaster Relief and Emergency Assistance Act, the Federal Emergency Management Agency provides financial assistance to individuals and households after a Presidentially-declared major disaster or emergency. This rule finalizes, without change, current interim regulations which establish the requirements and procedures for the Individuals and Households Program.",84 FR 62454, 2019-24762,https://www.federalregister.gov/documents/2019/11/15/2019-24762/disaster-assistance-federal-assistance-to-individuals-and-households,https://www.govinfo.gov/content/pkg/FR-2019-11-15/pdf/2019-24762.pdf,11/15/2019
Arizona; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Arizona (FEMA-1888-DR), dated March 18, 2010, and related determinations.",75 FR 15453, 2010-6938,https://www.federalregister.gov/documents/2010/03/29/2010-6938/arizona-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2010-03-29/pdf/2010-6938.pdf,03/29/2010
Washington; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the State of Washington (FEMA-4650-DR), dated March 29, 2022, and related determinations.",87 FR 29171, 2022-10234,https://www.federalregister.gov/documents/2022/05/12/2022-10234/washington-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2022-05-12/pdf/2022-10234.pdf,05/12/2022
Oglala Sioux Tribe; Major Disaster and Related Determinations,Notice,Homeland Security Department; Federal Emergency Management Agency,"This is a notice of the Presidential declaration of a major disaster for the Oglala Sioux Tribe (FEMA-4237-DR), dated August 7, 2015, and related determinations.",80 FR 50306, 2015-20345,https://www.federalregister.gov/documents/2015/08/19/2015-20345/oglala-sioux-tribe-major-disaster-and-related-determinations,https://www.govinfo.gov/content/pkg/FR-2015-08-19/pdf/2015-20345.pdf,08/19/2015
